E_MeV,phi_true,phi_cuqi_mean,phi_cuqi_std,phi_cuqi_lower_95,phi_cuqi_upper_95
1e-09,2252601.8004865283,2572005.791058296,1022889.9272182981,1106937.3730217882,4665579.807559426
1.5848931924611134e-09,3488544.5488584857,4534406.024202531,3161938.9505152544,1342832.4868243656,12229639.576485628
2.5118864315095803e-09,5330055.144289101,4797873.107061051,2960075.4819415966,1639601.5850916007,11461715.361553997
3.981071705534973e-09,7970984.72046053,8963622.16550793,4319532.723903361,3016660.954820762,17033197.62693919
6.309573444801934e-09,11522359.076893657,16913897.96563709,5413277.63282841,7966156.852010656,26587886.80485252
1e-08,15783100.383427966,26021544.806435287,3950396.710266777,18006987.086256575,33055001.531571776
1.5848931924611143e-08,19851383.654018573,21807452.131607592,4623404.760264216,12315828.5781317,29145667.37766513
2.511886431509581e-08,21810472.38438983,13532064.15186609,5884753.068011323,4836649.132164926,26697884.88872033
3.9810717055349736e-08,19340505.278000534,9258878.643711913,3037022.4635206955,3805859.389922993,13940917.405819243
6.309573444801935e-08,12211305.655036604,6286783.661452399,1696572.811801799,2703302.3892800785,9125609.481319062
1.0000000000000001e-07,4500608.508074871,5155820.347047316,1240166.5907000077,2672498.892275978,7426167.501078056
1.5848931924611146e-07,706733.8243855835,3034382.919331075,747627.7419349282,1851441.1998394623,4807566.130873107
2.511886431509583e-07,28707.72442164892,2419894.869274246,958739.7415891305,1105168.6254038026,4364064.814554052
3.981071705534974e-07,136.7811370572348,1396919.5828893608,851364.3947290612,250618.1387504477,3131230.057199269
6.309573444801937e-07,792446.5962305563,1093221.9275212511,908279.6210345528,163254.37053965728,3284862.293089952
1.0000000000000002e-06,500000.4841418448,472704.14290266426,261152.21051288143,142004.46932001453,994364.3503320821
1.584893192461114e-06,315479.2817383595,317619.62999130785,182880.56307231972,39731.98174192695,653301.4277874514
2.5118864315095823e-06,199054.35258918424,212686.9714928585,164088.1413287573,15827.347639581865,539759.3507485273
3.981071705534973e-06,125595.28756377337,151837.82984021056,142383.59804125235,14830.675397874202,473005.7122466908
6.309573444801937e-06,79245.87572861125,156864.5404837603,174227.00672609385,6299.106542783399,521377.44173551246
1e-05,50001.530982883945,109960.17905040052,118163.9515617837,5278.154950448135,309220.500170681
1.584893192461114e-05,31549.794610676017,129154.59658513102,152896.84291199868,4252.864963876277,355268.64046254376
2.5118864315095825e-05,19907.78495057627,119218.47028223152,97643.99459822009,7903.756957010659,317806.92379724677
3.9810717055349776e-05,12562.486816758274,74250.48802761399,67293.80833125905,6693.8839751014875,194243.57008607333
6.309573444801943e-05,7928.311498054723,91918.66745805684,87272.32390218283,5993.479484434948,272010.58345929114
0.0001,5004.841138215837,94088.21061786315,88975.77143310614,6065.138489597653,300525.08280933165
0.0001584893192461,3160.8811459013364,59558.553660033016,50520.15431478586,4547.690624263672,184414.08009715515
0.0002511886431509,1998.207861541635,55783.25198673825,43111.38501812055,6146.536949232481,162172.479423215
0.0003981071705534,1265.6008728963964,58719.32871743601,43854.22098295235,4184.877105002186,153127.5342485817
0.0006309573444801,804.6032109806192,63238.1529953308,44011.38127771994,10088.174316830002,148985.63506496078
0.001,515.3009690670576,78747.58015987322,59393.313002080955,8426.715857154624,202760.85503399096
0.0015848931924611,334.7348638669191,69868.082371219,66950.82737255027,3646.8772040448152,207423.9199079165
0.0025118864315095,223.28255596520862,59348.74326565754,49485.34048942171,5900.408180010217,164303.3044295769
0.0039810717055349,156.0705893926639,50179.17799666686,37769.595457433476,6157.631903409239,129771.7800162008
0.0063095734448019,117.55978176529116,43230.25759658633,35719.23559565668,3522.838233074632,117659.90449484358
0.01,98.1318288592007,67409.919662585,75430.66818615292,4947.5655721168205,253451.40178818902
0.0158489319246111,91.93511949156304,41284.10094218099,34422.28686621644,4116.7203694163045,114549.60213365876
0.0251188643150958,95.51664432435498,33352.079892982285,28312.863195540718,2880.0162314090685,85084.99155771942
0.0398107170553497,106.93162006739499,43803.974963464396,36181.1798197211,5551.774739012191,100666.90228535424
0.0630957344480194,125.11740044443178,40565.596106020785,38348.047757893655,2905.271666084582,87675.79216244994
0.1,149.36296044102286,43172.80613548021,42293.116488180676,3213.8940663137814,114619.4663495355
0.1584893192461117,175.55696946247843,46301.46498863454,38284.20893755594,4251.948316507534,115194.36042153243
0.2511886431509582,209.13182193666026,50683.8497858449,38833.00915606772,3852.724439352952,134926.63048074322
0.3981071705534969,240.98418824572326,42888.533393504345,25573.125512158884,8384.768815106445,98726.99452284737
0.6309573444801944,263.11227400640865,35317.25161675989,22604.333751291317,7090.642498501089,81647.71353420842
1.0,263.01296866780154,36602.19068377553,24976.743697210124,7564.830973677822,90042.94946512736
1.5848931924611174,227.27220089614758,35517.313655790225,21750.05527131151,6080.015009042974,77510.34304601373
2.5118864315095824,154.1283675198656,41194.62081439468,24257.91884968717,9422.611518403191,85298.25671103282
3.9810717055349856,69.7597818895987,60005.257968664904,45583.524920062584,7301.590655330304,152274.7744588857
6.309573444801943,16.099870638578466,99016.93571487501,92082.96599566154,8626.841843103859,287754.08900923876
10.0,1.2184964337427182,161050.35774365586,134013.66931769077,13664.954813770479,416921.86154542305
15.848931924611176,0.014777188426715127,169719.88351563344,84204.89814775636,29425.175997943243,329271.3845656954
25.118864315095824,9.060578073823764e-06,261494.89174919663,125802.12257169763,49005.88486219726,504410.6661503201
39.810717055349855,4.4157652129240483e-11,318918.5434361264,174236.07958220536,53995.54079970058,627166.6237410674
63.09573444801943,8.868946009682586e-20,381762.32124171144,195257.56799414678,70461.23709990365,729741.270403584
100.0,6.5152852014322e-34,527044.6526877029,216509.57729734606,122745.33116108965,899058.0034365845
158.48931924611173,9.389437928171498e-57,484534.5145410483,197732.39140273936,163445.53883141882,915586.4152847815
251.18864315095823,1.648383463816202e-93,555151.1541989212,239290.16570516443,167299.89822939935,1069923.836105699
398.1071705534986,1.8417260170167707e-152,892562.8802642497,469138.6823240674,213890.8156395951,1727427.3361357893
630.9573444801944,8.993552307302503e-247,1396557.705497791,660980.5100882776,463326.31392921956,2834194.574312982
